point_id,latitude,longitude,dist_to_structure_m,structural_density,slope_deg,twi
P_000,-24.45,26.05,1486.8838873833677,0.12290701136725178,5.2683380803819935,10.737547047052745
P_001,-24.444444444444443,26.05,1968.3910109676035,0.32421474404860096,7.945734189136827,5.551757516950835
P_002,-24.438888888888886,26.05,1006.8883010121045,0.4876761262114989,1.2075790396088002,9.606477568338736
P_003,-24.433333333333334,26.05,778.3177657469815,0.2962945704906755,5.516205457853736,8.08106263746334
P_004,-24.427777777777777,26.05,1813.9825058607844,0.6709191388801409,2.1950694068909975,4.328870977865109
P_005,-24.42222222222222,26.05,1927.3841819780007,0.5160229921265347,5.5906282819778355,7.698705156430007
P_006,-24.416666666666664,26.05,587.0049664782644,0.203894038188676,8.117031321136082,9.301388920757796
P_007,-24.41111111111111,26.05,1172.0011488827015,0.43542860040950526,4.521352222209565,7.60613238761703
P_008,-24.405555555555555,26.05,1140.0955958972609,0.7865483128175191,7.8330406641001815,7.274532534075556
P_009,-24.4,26.05,1709.3786106843477,0.8429104983477962,2.937662252435226,6.483811385591482
P_010,-24.45,26.055555555555557,331.8766483371319,0.128359143892523,8.00180034766592,7.598193777552098
P_011,-24.444444444444443,26.055555555555557,1398.772383695507,0.8788960737570248,5.912351402613226,9.61029863897975
P_012,-24.438888888888886,26.055555555555557,796.5784832915567,0.19988731775241186,5.760480003690811,8.36319714470394
P_013,-24.433333333333334,26.055555555555557,1230.9889054894338,0.8723003491295038,8.489959984028483,6.689937501041065
P_014,-24.427777777777777,26.055555555555557,1094.9983146711702,0.8363199933850559,3.4646812663816773,4.8286753853674105
P_015,-24.42222222222222,26.055555555555557,1883.7429557203234,0.20280660982401263,7.7118631009656395,6.809261209671941
P_016,-24.416666666666664,26.055555555555557,1587.9782698460867,0.8842268990866062,8.889593865706448,6.341332115439696
P_017,-24.41111111111111,26.055555555555557,1153.046100624207,0.5550538748936816,3.9858706582936505,6.751417405805083
P_018,-24.405555555555555,26.055555555555557,968.9389543827176,0.8995783183487989,8.937313699015597,10.048938554005044
P_019,-24.4,26.055555555555557,1965.7322761664063,0.7338304333088209,1.0704550986081935,9.89656219663414
P_020,-24.45,26.061111111111114,1154.0094998517004,0.49003949800545543,1.3940776826380605,11.388043471948219
P_021,-24.444444444444443,26.061111111111114,1622.3039142222246,0.7861902656996008,5.197569237745261,8.755434065604605
P_022,-24.438888888888886,26.061111111111114,1149.3329893860744,0.7535699397375495,8.802408241825114,7.439476651055959
P_023,-24.433333333333334,26.061111111111114,1054.4993130795988,0.2872762919353665,6.013285467577224,5.966298804775683
P_024,-24.427777777777777,26.061111111111114,1687.308993623867,0.2490644085685344,5.828221677812616,6.614832030355924
P_025,-24.42222222222222,26.061111111111114,1038.7920986626193,0.5848476805456339,6.971827272389802,9.402969377517909
P_026,-24.416666666666664,26.061111111111114,1202.830398055935,0.4378878685359372,8.602745334378127,10.751277398671391
P_027,-24.41111111111111,26.061111111111114,1298.3777683444482,0.4667701059250292,7.537752715789649,9.174134601149252
P_028,-24.405555555555555,26.061111111111114,1837.4685750026706,0.592421800005614,6.9704795198248926,4.787740268999328
P_029,-24.4,26.061111111111114,1665.1680222766445,0.8128813630135869,3.9107909706600092,8.340435887969257
P_030,-24.45,26.066666666666666,1779.9365463812685,0.5095445531044179,5.988090711829678,10.81267484811957
P_031,-24.444444444444443,26.066666666666666,396.7642475759432,0.4561597762528721,3.330022238234485,9.269120134424915
P_032,-24.438888888888886,26.066666666666666,462.84626476261445,0.6347675242403954,4.072201784066627,11.947190475774196
P_033,-24.433333333333334,26.066666666666666,1244.13163829732,0.788780075713935,3.0656457970006277,6.915095212058567
P_034,-24.427777777777777,26.066666666666666,1310.8859317483234,0.36251845478159195,2.154883836044052,4.057267368055309
P_035,-24.42222222222222,26.066666666666666,1880.848342917975,0.13673714490981714,2.220571349376601,5.651421310218885
P_036,-24.416666666666664,26.066666666666666,542.8631089840569,0.6703748055524207,2.5666333586453427,5.417087416533184
P_037,-24.41111111111111,26.066666666666666,1916.2441279196983,0.2335068725316928,2.3954274737577483,5.5661884612215475
P_038,-24.405555555555555,26.066666666666666,805.7444079501458,0.7472247726644815,5.545379940467188,4.414525215000433
P_039,-24.4,26.066666666666666,1227.7051708598806,0.2893497613745659,1.6217987922817463,10.925954837436612
